email,user_name,domain_name,birth_year,length,has_dot,has_hyphen,has_underscore,has_capital,has_special
Elody_OConner51@gmail.com,Elody_OConner51,gmail.com,1951.0,15,False,False,True,True,True
lily.long85@yahoo.com,lily.long85,yahoo.com,1985.0,11,True,False,False,False,True
simon.ward@protonmail.com,simon.ward,protonmail.com,,10,True,False,False,False,True
benjamin.phillips@hotmail.com,benjamin.phillips,hotmail.com,,17,True,False,False,False,True
robert.walker@aol.com,robert.walker,aol.com,,13,True,False,False,False,True
samantha_turner1987@gmail.com,samantha_turner1987,gmail.com,1987.0,19,False,False,True,False,True
matthew7843@icloud.com,matthew7843,icloud.com,1978.0,11,False,False,False,False,False
matthew.lewis@gmail.com,matthew.lewis,gmail.com,,13,True,False,False,False,True
Jerrod_Considine79@yahoo.com,Jerrod_Considine79,yahoo.com,1979.0,18,False,False,True,True,True
Beverly_Renner@outlook.com,Beverly_Renner,outlook.com,,14,False,False,True,True,True
smith.kelly1996@aol.com,smith.kelly1996,aol.com,1996.0,15,True,False,False,False,True
michael.kane1986@hotmail.com,michael.kane1986,hotmail.com,1986.0,16,True,False,False,False,True
Dock_King@yahoo.com,Dock_King,yahoo.com,,9,False,False,True,True,True
Elmo_Weissnat@mail.com,Elmo_Weissnat,mail.com,,13,False,False,True,True,True
Nils_Pacocha24@tutanota.com,Nils_Pacocha24,tutanota.com,1924.0,14,False,False,True,True,True
claire_harris9987@outlook.com,claire_harris9987,outlook.com,1999.0,17,False,False,True,False,True
peter.jackson@aol.com,peter.jackson,aol.com,,13,True,False,False,False,True
paul.baker@aol.com,paul.baker,aol.com,,10,True,False,False,False,True
Maiya.Huel47@aol.com,Maiya.Huel47,aol.com,1947.0,12,True,False,False,True,True
zoe1983_barnes@aol.com,zoe1983_barnes,aol.com,1983.0,14,False,False,True,False,True
Jaclyn.Littel@aol.com,Jaclyn.Littel,aol.com,,13,True,False,False,True,True
mary.green@yahoo.com,mary.green,yahoo.com,,10,True,False,False,False,True
mandy.04@gmail.com,mandy.04,gmail.com,2004.0,8,True,False,False,False,True
laura.foster@icloud.com,laura.foster,icloud.com,,12,True,False,False,False,True
jessica.evans04@gmail.com,jessica.evans04,gmail.com,2004.0,15,True,False,False,False,True
nathan.james95@outlook.com,nathan.james95,outlook.com,1995.0,14,True,False,False,False,True
Raina.OHara70@outlook.com,Raina.OHara70,outlook.com,1970.0,13,True,False,False,True,True
luke_barnes2006@gmail.com,luke_barnes2006,gmail.com,2006.0,15,False,False,True,False,True
nathan.brooks@icloud.com,nathan.brooks,icloud.com,,13,True,False,False,False,True
matthew.roberts@protonmail.com,matthew.roberts,protonmail.com,,15,True,False,False,False,True
susan.brown@gmail.com,susan.brown,gmail.com,,11,True,False,False,False,True
natalie9872_smith@yahoo.com,natalie9872_smith,yahoo.com,1998.0,17,False,False,True,False,True
peter.ward@gmail.com,peter.ward,gmail.com,,10,True,False,False,False,True
rebecca.thomas@hotmail.com,rebecca.thomas,hotmail.com,,14,True,False,False,False,True
amelia.simmons@yahoo.com,amelia.simmons,yahoo.com,,14,True,False,False,False,True
carter85_burn@hotmail.com,carter85_burn,hotmail.com,1985.0,13,False,False,True,False,True
amanda78_flash@hotmail.com,amanda78_flash,hotmail.com,1978.0,14,False,False,True,False,True
Ernie88@icloud.com,Ernie88,icloud.com,1988.0,7,False,False,False,True,False
sophia.brown@hotmail.com,sophia.brown,hotmail.com,,12,True,False,False,False,True
Kennedy.Schmidt59@gmail.com,Kennedy.Schmidt59,gmail.com,1959.0,17,True,False,False,True,True
james1980_clark@gmail.com,james1980_clark,gmail.com,1980.0,15,False,False,True,False,True
Morris_Vandervort@gmail.com,Morris_Vandervort,gmail.com,,17,False,False,True,True,True
Ayden28@yahoo.com,Ayden28,yahoo.com,1928.0,7,False,False,False,True,False
zoe_richards1995@gmail.com,zoe_richards1995,gmail.com,1995.0,16,False,False,True,False,True
hailey1998_turner@gmail.com,hailey1998_turner,gmail.com,1998.0,17,False,False,True,False,True
anna.harris@icloud.com,anna.harris,icloud.com,,11,True,False,False,False,True
david.roberts81@gmail.com,david.roberts81,gmail.com,1981.0,15,True,False,False,False,True
alice.evans@icloud.com,alice.evans,icloud.com,,11,True,False,False,False,True
Jose_Hayes62@mail.com,Jose_Hayes62,mail.com,1962.0,12,False,False,True,True,True
victoria_carter1984@yahoo.com,victoria_carter1984,yahoo.com,1984.0,19,False,False,True,False,True
robert.mitchell@gmail.com,robert.mitchell,gmail.com,,15,True,False,False,False,True
eliza.brooks1702@gmail.com,eliza.brooks1702,gmail.com,1970.0,16,True,False,False,False,True
emily.wood1696@gmail.com,emily.wood1696,gmail.com,1969.0,14,True,False,False,False,True
alexis43_flare@gmail.com,alexis43_flare,gmail.com,1943.0,14,False,False,True,False,True
Roel37@yahoo.com,Roel37,yahoo.com,1937.0,6,False,False,False,True,False
david66_glow@hotmail.com,david66_glow,hotmail.com,1966.0,12,False,False,True,False,True
madeline1986_ross@aol.com,madeline1986_ross,aol.com,1986.0,17,False,False,True,False,True
samantha1996_green@icloud.com,samantha1996_green,icloud.com,1996.0,18,False,False,True,False,True
madison1991_bell@outlook.com,madison1991_bell,outlook.com,1991.0,16,False,False,True,False,True
john.morris@gmail.com,john.morris,gmail.com,,11,True,False,False,False,True
Clement.Stamm37@gmail.com,Clement.Stamm37,gmail.com,1937.0,15,True,False,False,True,True
emma.johnson1999@outlook.com,emma.johnson1999,outlook.com,1999.0,16,True,False,False,False,True
Alanna.Bode-Altenwerth66@yahoo.com,Alanna.Bode-Altenwerth66,yahoo.com,1966.0,24,True,True,False,True,True
rebecca.scott@outlook.com,rebecca.scott,outlook.com,,13,True,False,False,False,True
Chanelle71@outlook.com,Chanelle71,outlook.com,1971.0,10,False,False,False,True,False
martha@wright@yahoo.com,martha@wright,yahoo.com,,13,False,False,False,False,True
logan_turner1998@outlook.com,logan_turner1998,outlook.com,1998.0,16,False,False,True,False,True
emily.smith06@outlook.com,emily.smith06,outlook.com,2006.0,13,True,False,False,False,True
kevin_2003thompson@gmail.com,kevin_2003thompson,gmail.com,2003.0,18,False,False,True,False,True
mark.smith2004@gmail.com,mark.smith2004,gmail.com,2004.0,14,True,False,False,False,True
Kameron21@mail.com,Kameron21,mail.com,1921.0,9,False,False,False,True,False
thomas.hall@gmail.com,thomas.hall,gmail.com,,11,True,False,False,False,True
logan.turner98@outlook.com,logan.turner98,outlook.com,1998.0,14,True,False,False,False,True
Joana.Zboncak@icloud.com,Joana.Zboncak,icloud.com,,13,True,False,False,True,True
rachel.perez45@icloud.com,rachel.perez45,icloud.com,1945.0,14,True,False,False,False,True
Giovanni_Tremblay60@aol.com,Giovanni_Tremblay60,aol.com,1960.0,19,False,False,True,True,True
megan.wilson21@hotmail.com,megan.wilson21,hotmail.com,1921.0,14,True,False,False,False,True
rebecca.bryant@protonmail.com,rebecca.bryant,protonmail.com,,14,True,False,False,False,True
Neal.McGlynn@gmail.com,Neal.McGlynn,gmail.com,,12,True,False,False,True,True
rachel11_flare@icloud.com,rachel11_flare,icloud.com,,14,False,False,True,False,True
david.roberts81@gmail.com,david.roberts81,gmail.com,1981.0,15,True,False,False,False,True
Mekhi60@icloud.com,Mekhi60,icloud.com,1960.0,7,False,False,False,True,False
Evan93@yahoo.com,Evan93,yahoo.com,1993.0,6,False,False,False,True,False
rachel.bailey1723@gmail.com,rachel.bailey1723,gmail.com,1972.0,17,True,False,False,False,True
hannah_8764hill@icloud.com,hannah_8764hill,icloud.com,1987.0,15,False,False,True,False,True
sophia.jones03@gmail.com,sophia.jones03,gmail.com,2003.0,14,True,False,False,False,True
elizabeth.roberts@hotmail.com,elizabeth.roberts,hotmail.com,,17,True,False,False,False,True
Susan13@tutanota.com,Susan13,tutanota.com,,7,False,False,False,True,False
sarah.carter@yahoo.com,sarah.carter,yahoo.com,,12,True,False,False,False,True
madeline.ross05@aol.com,madeline.ross05,aol.com,2005.0,15,True,False,False,False,True
victoria_james2005@gmail.com,victoria_james2005,gmail.com,2005.0,18,False,False,True,False,True
Jaclyn_Cole@gmail.com,Jaclyn_Cole,gmail.com,,11,False,False,True,True,True
Shawn.Rowe58@tutanota.com,Shawn.Rowe58,tutanota.com,1958.0,12,True,False,False,True,True
logan_wright2003@gmail.com,logan_wright2003,gmail.com,2003.0,16,False,False,True,False,True
thomas.jones@hotmail.com,thomas.jones,hotmail.com,,12,True,False,False,False,True
emma76_flash@gmail.com,emma76_flash,gmail.com,1976.0,12,False,False,True,False,True
nathan_martin2003@gmail.com,nathan_martin2003,gmail.com,2003.0,17,False,False,True,False,True
