,email,digits,age,has_digit,has_underscore,has_period,username_length,domain_aol.com,domain_gmail.com,domain_hotmail.com,domain_icloud.com,domain_mail.com,domain_others,domain_outlook.com,domain_protonmail.com,domain_tutanota.com,domain_yahoo.com,first_name
0,Elody_OConner51@gmail.com,51,2,1,1,0,15,0,1,0,0,0,0,0,0,0,0,Elody
1,lily.long85@yahoo.com,85,1,1,0,1,11,0,0,0,0,0,0,0,0,0,1,lily
2,simon.ward@protonmail.com,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,simon
3,benjamin.phillips@hotmail.com,0,3,0,0,1,17,0,0,1,0,0,0,0,0,0,0,benjamin
4,robert.walker@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,robert
5,samantha_turner1987@gmail.com,1987,1,1,1,0,19,0,1,0,0,0,0,0,0,0,0,samantha
6,matthew7843@icloud.com,7843,0,1,0,0,11,0,0,0,1,0,0,0,0,0,0,matthew7843
7,matthew.lewis@gmail.com,0,3,0,0,1,13,0,1,0,0,0,0,0,0,0,0,matthew
8,Jerrod_Considine79@yahoo.com,79,1,1,1,0,18,0,0,0,0,0,0,0,0,0,1,Jerrod
9,Beverly_Renner@outlook.com,0,3,0,1,0,14,0,0,0,0,0,0,1,0,0,0,Beverly
10,smith.kelly1996@aol.com,1996,0,1,0,1,15,1,0,0,0,0,0,0,0,0,0,smith
11,michael.kane1986@hotmail.com,1986,1,1,0,1,16,0,0,1,0,0,0,0,0,0,0,michael
12,Dock_King@yahoo.com,0,3,0,1,0,9,0,0,0,0,0,0,0,0,0,1,Dock
13,Elmo_Weissnat@mail.com,0,1,0,1,0,13,0,0,0,0,1,0,0,0,0,0,Elmo
14,Nils_Pacocha24@tutanota.com,24,0,1,1,0,14,0,0,0,0,0,0,0,0,1,0,Nils
15,claire_harris9987@outlook.com,9987,3,1,1,0,17,0,0,0,0,0,0,1,0,0,0,claire
16,peter.jackson@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,peter
17,paul.baker@aol.com,0,2,0,0,1,10,1,0,0,0,0,0,0,0,0,0,paul
18,Maiya.Huel47@aol.com,47,2,1,0,1,12,1,0,0,0,0,0,0,0,0,0,Maiya
19,zoe1983_barnes@aol.com,1983,1,1,1,0,14,1,0,0,0,0,0,0,0,0,0,zoe1983
20,Jaclyn.Littel@aol.com,0,2,0,0,1,13,1,0,0,0,0,0,0,0,0,0,Jaclyn
21,mary.green@yahoo.com,0,3,0,0,1,10,0,0,0,0,0,0,0,0,0,1,mary
22,mandy.04@gmail.com,04,0,1,0,1,8,0,1,0,0,0,0,0,0,0,0,mandy
23,laura.foster@icloud.com,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,0,laura
24,jessica.evans04@gmail.com,04,0,1,0,1,15,0,1,0,0,0,0,0,0,0,0,jessica
25,nathan.james95@outlook.com,95,0,1,0,1,14,0,0,0,0,0,0,1,0,0,0,nathan
26,Raina.OHara70@outlook.com,70,2,1,0,1,13,0,0,0,0,0,0,1,0,0,0,Raina
27,luke_barnes2006@gmail.com,2006,0,1,1,0,15,0,1,0,0,0,0,0,0,0,0,luke
28,nathan.brooks@icloud.com,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,nathan
29,matthew.roberts@protonmail.com,0,0,0,0,1,15,0,0,0,0,0,0,0,1,0,0,matthew
30,susan.brown@gmail.com,0,3,0,0,1,11,0,1,0,0,0,0,0,0,0,0,susan
31,natalie9872_smith@yahoo.com,9872,3,1,1,0,17,0,0,0,0,0,0,0,0,0,1,natalie9872
32,peter.ward@gmail.com,0,3,0,0,1,10,0,1,0,0,0,0,0,0,0,0,peter
33,rebecca.thomas@hotmail.com,0,3,0,0,1,14,0,0,1,0,0,0,0,0,0,0,rebecca
34,amelia.simmons@yahoo.com,0,3,0,0,1,14,0,0,0,0,0,0,0,0,0,1,amelia
35,carter85_burn@hotmail.com,85,1,1,1,0,13,0,0,1,0,0,0,0,0,0,0,carter85
36,amanda78_flash@hotmail.com,78,1,1,1,0,14,0,0,1,0,0,0,0,0,0,0,amanda78
37,Ernie88@icloud.com,88,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,Ernie88
38,sophia.brown@hotmail.com,0,3,0,0,1,12,0,0,1,0,0,0,0,0,0,0,sophia
39,Kennedy.Schmidt59@gmail.com,59,2,1,0,1,17,0,1,0,0,0,0,0,0,0,0,Kennedy
40,james1980_clark@gmail.com,1980,1,1,1,0,15,0,1,0,0,0,0,0,0,0,0,james1980
41,Morris_Vandervort@gmail.com,0,3,0,1,0,17,0,1,0,0,0,0,0,0,0,0,Morris
42,Ayden28@yahoo.com,28,3,1,0,0,7,0,0,0,0,0,0,0,0,0,1,Ayden28
43,zoe_richards1995@gmail.com,1995,0,1,1,0,16,0,1,0,0,0,0,0,0,0,0,zoe
44,hailey1998_turner@gmail.com,1998,0,1,1,0,17,0,1,0,0,0,0,0,0,0,0,hailey1998
45,anna.harris@icloud.com,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,anna
46,david.roberts81@gmail.com,81,1,1,0,1,15,0,1,0,0,0,0,0,0,0,0,david
47,alice.evans@icloud.com,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,alice
48,Jose_Hayes62@mail.com,62,2,1,1,0,12,0,0,0,0,1,0,0,0,0,0,Jose
49,victoria_carter1984@yahoo.com,1984,1,1,1,0,19,0,0,0,0,0,0,0,0,0,1,victoria
50,robert.mitchell@gmail.com,0,3,0,0,1,15,0,1,0,0,0,0,0,0,0,0,robert
51,eliza.brooks1702@gmail.com,1702,3,1,0,1,16,0,1,0,0,0,0,0,0,0,0,eliza
52,emily.wood1696@gmail.com,1696,3,1,0,1,14,0,1,0,0,0,0,0,0,0,0,emily
53,alexis43_flare@gmail.com,43,3,1,1,0,14,0,1,0,0,0,0,0,0,0,0,alexis43
54,Roel37@yahoo.com,37,3,1,0,0,6,0,0,0,0,0,0,0,0,0,1,Roel37
55,david66_glow@hotmail.com,66,2,1,1,0,12,0,0,1,0,0,0,0,0,0,0,david66
56,madeline1986_ross@aol.com,1986,1,1,1,0,17,1,0,0,0,0,0,0,0,0,0,madeline1986
