email,username,domain,valid_email,digits,len_digits,len_username,has_underscore,has_dot,has_hyphen,has_special_char,len_capital,age
Elody_OConner51@gmail.com,Elody_OConner51,gmail.com,True,51,2,15,1,0,0,0,3,old
lily.long85@yahoo.com,lily.long85,yahoo.com,True,85,2,11,0,1,0,1,0,medium
simon.ward@protonmailcom,simon.ward,protonmail.com,False,12345,0,10,0,1,0,1,0,unsure
benjamin.phillips@hotmail.com,benjamin.phillips,hotmail.com,True,12345,0,17,0,1,0,1,0,unsure
robert.walker@aol.com,robert.walker,aol.com,True,12345,0,13,0,1,0,1,0,unsure
samantha_turner1987@gmail.com,samantha_turner1987,gmail.com,True,1987,4,19,1,0,0,0,0,medium
matthew7843@icloud.com,matthew7843,icloud.com,True,7843,4,11,0,0,0,0,0,young
"matthew.lewis@gmail,",matthew.lewis,gmail.com,False,12345,0,13,0,1,0,1,0,unsure
Jerrod_Considine79@yahoo.com,Jerrod_Considine79,yahoo.com,True,79,2,18,1,0,0,0,2,medium
Beverly_Renner@outlook.com,Beverly_Renner,outlook.com,True,12345,0,14,1,0,0,0,2,unsure
smith.kelly1996@aol.com,smith.kelly1996,aol.com,True,1996,4,15,0,1,0,1,0,young
michael.kane1986@hotmail.com,michael.kane1986,hotmail.com,True,1986,4,16,0,1,0,1,0,medium
Dock_King@yahoo.com,Dock_King,yahoo.com,True,12345,0,9,1,0,0,0,2,unsure
Elmo_Weissnat@mail.com,Elmo_Weissnat,mail.com,True,12345,0,13,1,0,0,0,2,old
Nils_Pacocha24@tutanota.com,Nils_Pacocha24,tutanota.com,True,24,2,14,1,0,0,0,2,unsure
claire_harris9987@outlook.com,claire_harris9987,outlook.com,True,9987,4,17,1,0,0,0,0,unsure
"peter.jackson@aol,",peter.jackson,aol.com,False,12345,0,13,0,1,0,1,0,unsure
paul.baker@aolcom,paul.baker,aol.com,False,12345,0,10,0,1,0,1,0,medium
Maiya.Huel47@aol.com,Maiya.Huel47,aol.com,True,47,2,12,0,1,0,1,2,old
zoe1983_barnes@aol.com,zoe1983_barnes,aol.com,True,1983,4,14,1,0,0,0,0,medium
Jaclyn.Littel@aol.com,Jaclyn.Littel,aol.com,True,12345,0,13,0,1,0,1,2,old
mary.green@yahoo.com,mary.green,yahoo.com,True,12345,0,10,0,1,0,1,0,medium
mandy.04@gmail.com,mandy.04,gmail.com,True,04,2,8,0,1,0,1,0,young
laura.foster@icloud..com,laura.foster,icloud.com,False,12345,0,12,0,1,0,1,0,medium
jessica.evans04@gmail.com,jessica.evans04,gmail.com,True,04,2,15,0,1,0,1,0,young
nathan.james95@outlook.com,nathan.james95,outlook.com,True,95,2,14,0,1,0,1,0,young
Raina.OHara70@outlook.com,Raina.OHara70,outlook.com,True,70,2,13,0,1,0,1,3,old
luke_barnes2006@gmail.com,luke_barnes2006,gmail.com,True,2006,4,15,1,0,0,0,0,young
"nathan.brooks@icloud,com",nathan.brooks,icloud.com,False,12345,0,13,0,1,0,1,0,unsure
matthew.roberts@protonmail.com,matthew.roberts,protonmail.com,True,12345,0,15,0,1,0,1,0,unsure
susan.brown@gmail.com,susan.brown,gmail.com,True,12345,0,11,0,1,0,1,0,medium
natalie9872_smith@yahoo.com,natalie9872_smith,yahoo.com,True,9872,4,17,1,0,0,0,0,unsure
peter.ward@gmail.com,peter.ward,gmail.com,True,12345,0,10,0,1,0,1,0,medium
rebecca.thomas@hotmail.com,rebecca.thomas,hotmail.com,True,12345,0,14,0,1,0,1,0,unsure
"amelia.simmons@yahoo,",amelia.simmons,yahoo.com,False,12345,0,14,0,1,0,1,0,young
carter85_burn@hotmail.com,carter85_burn,hotmail.com,True,85,2,13,1,0,0,0,0,medium
amanda78_flash@hotmail.com,amanda78_flash,hotmail.com,True,78,2,14,1,0,0,0,0,medium
Ernie88@icloud.com,Ernie88,icloud.com,True,88,2,7,0,0,0,0,1,medium
"sophia.brown@hotmail,com",sophia.brown,hotmail.com,False,12345,0,12,0,1,0,1,0,young
Kennedy.Schmidt59@gmail.com,Kennedy.Schmidt59,gmail.com,True,59,2,17,0,1,0,1,2,old
james1980_clark@gmail.com,james1980_clark,gmail.com,True,1980,4,15,1,0,0,0,0,medium
Morris_Vandervort@gmail.com,Morris_Vandervort,gmail.com,True,12345,0,17,1,0,0,0,2,unsure
Ayden28@yahoo.com,Ayden28,yahoo.com,True,28,2,7,0,0,0,0,1,unsure
zoe_richards1995@gmail.com,zoe_richards1995,gmail.com,True,1995,4,16,1,0,0,0,0,young
hailey1998_turner@gmail.com,hailey1998_turner,gmail.com,True,1998,4,17,1,0,0,0,0,young
anna.harris@icloud.com,anna.harris,icloud.com,True,12345,0,11,0,1,0,1,0,medium
david.roberts81@gmail.com,david.roberts81,gmail.com,True,81,2,15,0,1,0,1,0,medium
alice.evans@icloud..,alice.evans,icloud.com,False,12345,0,11,0,1,0,1,0,medium
Jose_Hayes62@mail.com,Jose_Hayes62,mail.com,True,62,2,12,1,0,0,0,2,old
victoria_carter1984@yahoo.com,victoria_carter1984,yahoo.com,True,1984,4,19,1,0,0,0,0,medium
