,email,label,age
0,Elody_OConner51@gmail.com,3.0,73.0
1,lily.long85@yahoo.com,2.0,39.0
2,benjamin.phillips@hotmail.com,0.0,-100.0
3,robert.walker@aol.com,0.0,-100.0
4,samantha_turner1987@gmail.com,2.0,37.0
5,matthew7843@icloud.com,0.0,-100.0
6,Jerrod_Considine79@yahoo.com,2.0,45.0
7,Beverly_Renner@outlook.com,0.0,-100.0
8,smith.kelly1996@aol.com,1.0,28.0
9,michael.kane1986@hotmail.com,2.0,38.0
10,Dock_King@yahoo.com,0.0,-100.0
11,Elmo_Weissnat@mail.com,0.0,-100.0
12,Nils_Pacocha24@tutanota.com,1.0,0.0
13,claire_harris9987@outlook.com,0.0,-100.0
14,Maiya.Huel47@aol.com,3.0,77.0
15,zoe1983_barnes@aol.com,2.0,41.0
16,Jaclyn.Littel@aol.com,0.0,-100.0
17,mary.green@yahoo.com,0.0,-100.0
18,mandy.04@gmail.com,1.0,20.0
19,laura.foster@icloud..com,0.0,-100.0
20,jessica.evans04@gmail.com,1.0,20.0
21,nathan.james95@outlook.com,2.0,29.0
22,Raina.OHara70@outlook.com,3.0,54.0
23,luke_barnes2006@gmail.com,0.0,-100.0
24,matthew.roberts@protonmail.com,0.0,-100.0
25,susan.brown@gmail.com,0.0,-100.0
26,natalie9872_smith@yahoo.com,0.0,-100.0
27,peter.ward@gmail.com,0.0,-100.0
28,rebecca.thomas@hotmail.com,0.0,-100.0
29,carter85_burn@hotmail.com,2.0,39.0
30,amanda78_flash@hotmail.com,2.0,46.0
31,Ernie88@icloud.com,2.0,36.0
32,Kennedy.Schmidt59@gmail.com,3.0,65.0
33,james1980_clark@gmail.com,2.0,44.0
34,Morris_Vandervort@gmail.com,0.0,-100.0
35,Ayden28@yahoo.com,3.0,96.0
36,zoe_richards1995@gmail.com,1.0,29.0
37,hailey1998_turner@gmail.com,1.0,26.0
38,anna.harris@icloud.com,0.0,-100.0
39,david.roberts81@gmail.com,2.0,43.0
40,Jose_Hayes62@mail.com,3.0,62.0
41,victoria_carter1984@yahoo.com,2.0,40.0
42,robert.mitchell@gmail.com,0.0,-100.0
43,eliza.brooks1702@gmail.com,0.0,-100.0
44,emily.wood1696@gmail.com,0.0,-100.0
45,alexis43_flare@gmail.com,3.0,81.0
46,Roel37@yahoo.com,3.0,87.0
47,david66_glow@hotmail.com,3.0,58.0
48,madeline1986_ross@aol.com,2.0,38.0
49,samantha1996_green@icloud.com,1.0,28.0
50,madison1991_bell@outlook.com,2.0,33.0
51,john.morris@gmail.com,0.0,-100.0
52,Clement.Stamm37@gmail.com,3.0,87.0
53,emma.johnson1999@outlook.com,1.0,25.0
54,Alanna.Bode-Altenwerth66@yahoo.com,3.0,58.0
55,rebecca.scott@outlook.com,0.0,-100.0
56,Chanelle71@outlook.com,3.0,53.0
57,logan_turner1998@outlook.com,1.0,26.0
58,emily.smith06@outlook.com,1.0,18.0
59,kevin_2003thompson@gmail.com,1.0,21.0
60,mark.smith2004@gmail.com,1.0,20.0
61,Kameron21@mail.com,1.0,3.0
62,thomas.hall@gmail.com,0.0,-100.0
63,logan.turner98@outlook.com,2.0,26.0
64,Joana.Zboncak@icloud.com,0.0,-100.0
65,rachel.perez45@icloud.com,3.0,79.0
66,Giovanni_Tremblay60@aol.com,3.0,64.0
67,megan.wilson21@hotmail.com,1.0,3.0
68,rebecca.bryant@protonmail.com,0.0,-100.0
69,Neal.McGlynn@gmail.com,0.0,-100.0
70,rachel11_flare@icloud.com,1.0,13.0
71,david.roberts81@gmail.com,2.0,43.0
72,Mekhi60@icloud.com,3.0,64.0
73,Evan93@yahoo.com,2.0,31.0
74,rachel.bailey1723@gmail.com,0.0,-100.0
75,hannah_8764hill@icloud.com,0.0,-100.0
76,sophia.jones03@gmail.com,1.0,21.0
77,elizabeth.roberts@hotmail.com,0.0,-100.0
78,Susan13@tutanota.com,1.0,11.0
79,madeline.ross05@aol.com,1.0,19.0
80,victoria_james2005@gmail.com,1.0,19.0
81,Jaclyn_Cole@gmail.com,0.0,-100.0
82,Shawn.Rowe58@tutanota.com,3.0,66.0
83,logan_wright2003@gmail.com,1.0,21.0
84,thomas.jones@hotmail.com,0.0,-100.0
85,emma76_flash@gmail.com,2.0,48.0
86,nathan_martin2003@gmail.com,1.0,21.0
